Wavelength (nm),Extraterrestrial W*m-2*nm-1,Global tilt  W*m-2*nm-1,Direct+circumsolar W*m-2*nm-1,,Wavelength (nm),W*m-2*nm-1
280,0.082,4.73E-23,2.54E-26,,119.5,6.19E-05
280.5,0.099,1.23E-21,1.09E-24,,120.5,0.000561
281,0.15,5.69E-21,6.13E-24,,121.5,0.0049
281.5,0.212,1.57E-19,2.75E-22,,122.5,0.00118
282,0.267,1.19E-18,2.83E-21,,123.5,4.77E-05
282.5,0.303,4.54E-18,1.33E-20,,124.5,3.43E-05
283,0.325,1.85E-17,6.76E-20,,125.5,2.88E-05
283.5,0.323,3.54E-17,1.46E-19,,126.5,3.52E-05
284,0.299,7.27E-16,4.98E-18,,127.5,2.13E-05
284.5,0.25,2.49E-15,2.16E-17,,128.5,1.73E-05
285,0.176,8.01E-15,9E-17,,129.5,3.99E-05
285.5,0.155,4.26E-14,6.44E-16,,130.5,0.000121
286,0.242,1.37E-13,2.35E-15,,131.5,3.98E-05
286.5,0.333,8.38E-13,1.85E-14,,132.5,4.13E-05
287,0.362,2.74E-12,7.25E-14,,133.5,0.000168
287.5,0.339,1.09E-11,3.66E-13,,134.5,4.57E-05
288,0.311,6.23E-11,2.81E-12,,135.5,3.8E-05
288.5,0.325,1.72E-10,9.07E-12,,136.5,3.09E-05
289,0.392,5.63E-10,3.5E-11,,137.5,2.92E-05
289.5,0.479,2.07E-09,1.54E-10,,138.5,3.97E-05
290,0.563,6.02E-09,5.15E-10,,139.5,7.56E-05
290.5,0.606,1.38E-08,1.33E-09,,140.5,6.08E-05
291,0.618,3.51E-08,3.9E-09,,141.5,4.21E-05
291.5,0.598,1.09E-07,1.44E-08,,142.5,4.68E-05
292,0.567,2.68E-07,4.08E-08,,143.5,5.11E-05
292.5,0.529,4.27E-07,7.04E-08,,144.5,5.09E-05
293,0.538,8.65E-07,1.58E-07,,145.5,5.54E-05
293.5,0.549,2.27E-06,4.71E-07,,146.5,7.09E-05
294,0.533,4.17E-06,9.46E-07,,147.5,8.49E-05
294.5,0.52,6.59E-06,1.6E-06,,148.5,8.2E-05
295,0.527,1.23E-05,3.22E-06,,149.5,7.96E-05
295.5,0.559,2.78E-05,8.02E-06,,150.5,8.7E-05
296,0.573,4.79E-05,1.47E-05,,151.5,9.27E-05
296.5,0.521,7.13E-05,2.33E-05,,152.5,0.000116
297,0.478,9.68E-05,3.32E-05,,153.5,0.00013
297.5,0.529,0.000186,6.79E-05,,154.5,0.000206
298,0.528,0.00029,0.000111,,155.5,0.000214
298.5,0.468,0.000358,0.000143,,156.5,0.000185
299,0.472,0.000492,0.000203,,157.5,0.000172
299.5,0.501,0.000861,0.000374,,158.5,0.000168
300,0.458,0.00102,0.000456,,159.5,0.000175
300.5,0.433,0.00125,0.000572,,160.5,0.000193
301,0.463,0.00193,0.000919,,161.5,0.000223
301.5,0.478,0.00269,0.00132,,162.5,0.000252
302,0.449,0.00292,0.00146,,163.5,0.000284
302.5,0.508,0.00428,0.00219,,164.5,0.000297
303,0.612,0.00709,0.00373,,165.5,0.00043
303.5,0.646,0.00898,0.0048,,166.5,0.000399
304,0.621,0.00947,0.0051,,167.5,0.000387
304.5,0.626,0.012,0.00647,,168.5,0.000456
305,0.642,0.0165,0.00893,,169.5,0.000588
305.5,0.611,0.0187,0.0102,,170.5,0.000662
306,0.565,0.0186,0.0101,,171.5,0.000688
306.5,0.575,0.0211,0.0116,,172.5,0.000725
307,0.605,0.0278,0.0152,,173.5,0.000764
307.5,0.631,0.0356,0.0195,,174.5,0.000907
308,0.645,0.0378,0.0208,,175.5,0.00108
308.5,0.64,0.0414,0.0227,,176.5,0.00122
309,0.58,0.0405,0.0223,,177.5,0.0014
309.5,0.5,0.0433,0.0237,,178.5,0.00154
310,0.533,0.0509,0.0278,,179.5,0.00158
310.5,0.652,0.0655,0.0359,,180.5,0.00183
311,0.762,0.0829,0.0454,,181.5,0.00223
311.5,0.744,0.0841,0.0462,,182.5,0.00224
312,0.706,0.0934,0.0509,,183.5,0.00224
312.5,0.676,0.099,0.0538,,184.5,0.00207
313,0.694,0.107,0.0583,,185.5,0.00231
313.5,0.724,0.108,0.059,,186.5,0.0027
314,0.717,0.12,0.0653,,187.5,0.00301
314.5,0.676,0.131,0.0705,,188.5,0.00329
315,0.684,0.136,0.0737,,189.5,0.00357
315.5,0.632,0.118,0.0648,,190.5,0.00376
316,0.587,0.123,0.0671,,191.5,0.00417
316.5,0.649,0.15,0.0811,,192.5,0.00411
317,0.739,0.172,0.093,,193.5,0.00381
317.5,0.802,0.182,0.0997,,194.5,0.00521
318,0.724,0.176,0.0958,,195.5,0.00543
318.5,0.68,0.186,0.1,,196.5,0.00601
319,0.706,0.205,0.11,,197.5,0.00619
319.5,0.733,0.196,0.107,,198.5,0.00619
320,0.775,0.205,0.113,,199.5,0.00666
320.5,0.826,0.245,0.133,,200.5,0.00733
321,0.765,0.25,0.134,,201.5,0.00802
321.5,0.719,0.238,0.128,,202.5,0.00826
322,0.735,0.222,0.122,,203.5,0.00922
322.5,0.712,0.217,0.12,,204.5,0.0103
323,0.649,0.212,0.116,,205.5,0.0105
323.5,0.681,0.249,0.134,,206.5,0.0111
324,0.741,0.275,0.149,,207.5,0.0126
324.5,0.788,0.283,0.155,,208.5,0.0151
325,0.829,0.279,0.155,,209.5,0.0214
325.5,0.914,0.324,0.179,,210.5,0.0279
326,0.998,0.381,0.209,,211.5,0.0335
326.5,1.02,0.407,0.222,,212.5,0.0313
327,1,0.398,0.218,,213.5,0.0331
327.5,0.987,0.385,0.213,,214.5,0.04
328,0.957,0.351,0.198,,215.5,0.0362
328.5,0.934,0.372,0.207,,216.5,0.0323
329,1,0.422,0.233,,217.5,0.0353
329.5,1.1,0.469,0.259,,218.5,0.0444
330,1.11,0.471,0.262,,219.5,0.0469
330.5,1.04,0.428,0.241,,220.5,0.0473
331,0.991,0.403,0.228,,221.5,0.0396
331.5,0.994,0.418,0.236,,222.5,0.0496
332,0.993,0.436,0.245,,223.5,0.063
332.5,0.98,0.439,0.247,,224.5,0.059
333,0.964,0.429,0.243,,225.5,0.0523
333.5,0.937,0.407,0.233,,226.5,0.0394
334,0.956,0.415,0.238,,227.5,0.0399
334.5,0.989,0.445,0.254,,228.5,0.052
335,1.01,0.464,0.265,,229.5,0.0477
335.5,0.975,0.453,0.259,,230.5,0.0521
336,0.89,0.415,0.238,,231.5,0.051
336.5,0.829,0.382,0.221,,232.5,0.0533
337,0.818,0.374,0.218,,233.5,0.0447
337.5,0.877,0.401,0.234,,234.5,0.039
338,0.925,0.434,0.253,,235.5,0.0514
338.5,0.958,0.455,0.265,,236.5,0.0486
339,0.969,0.464,0.271,,237.5,0.0484
339.5,0.989,0.474,0.278,,238.5,0.042
340,1.05,0.502,0.297,,239.5,0.0441
340.5,1.05,0.501,0.297,,240.5,0.0396
341,0.971,0.471,0.279,,241.5,0.0515
341.5,0.959,0.469,0.279,,242.5,0.0706
342,0.996,0.489,0.291,,243.5,0.0665
342.5,1.03,0.508,0.303,,244.5,0.061
343,1.04,0.515,0.309,,245.5,0.0494
343.5,0.983,0.486,0.292,,246.5,0.0504
344,0.854,0.418,0.254,,247.5,0.0555
344.5,0.813,0.403,0.244,,248.5,0.0456
345,0.916,0.459,0.279,,249.5,0.0564
345.5,0.97,0.489,0.298,,250.5,0.0601
346,0.943,0.478,0.291,,251.5,0.046
346.5,0.956,0.487,0.297,,252.5,0.0415
347,0.97,0.494,0.303,,253.5,0.0515
347.5,0.933,0.477,0.294,,254.5,0.0596
348,0.925,0.475,0.293,,255.5,0.0793
348.5,0.937,0.483,0.299,,256.5,0.102
349,0.899,0.466,0.289,,257.5,0.125
349.5,0.92,0.478,0.297,,258.5,0.125
350,1.01,0.528,0.329,,259.5,0.104
350.5,1.08,0.567,0.355,,260.5,0.0855
351,1.05,0.552,0.346,,261.5,0.0898
351.5,1.01,0.53,0.334,,262.5,0.104
352,0.984,0.518,0.327,,263.5,0.166
352.5,0.926,0.49,0.31,,264.5,0.25
353,0.98,0.52,0.33,,265.5,0.253
353.5,1.08,0.572,0.364,,266.5,0.249
354,1.13,0.605,0.385,,267.5,0.251
354.5,1.14,0.612,0.39,,268.5,0.244
355,1.14,0.611,0.391,,269.5,0.239
355.5,1.1,0.59,0.379,,270.5,0.267
356,1.02,0.554,0.356,,271.5,0.224
356.5,0.959,0.519,0.335,,272.5,0.197
357,0.842,0.457,0.295,,273.5,0.197
