"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
300,1.6191,300,0.5912,247641.27690697144," Yajie Jiang,  Supriya Pillai and  Martin A. Green, 'Realistic Silver Optical Constants for Plasmonics', <i>Scientific Reports</i> <b>6</b>(1), pp.30605, (2016)",Thermally evaporated from 99.999% pure Ag.
301,1.612,301,0.5579,232916.21813126185,,
302,1.6023,302,0.5233,217747.73981768725,,
303,1.5896,303,0.4873,202098.75908835727,,
304,1.5735,304,0.4504,186180.70147063723,,
305,1.5539,305,0.4128,170078.61605270382,,
306,1.5301,306,0.3748,153917.5067405823,,
307,1.5021,307,0.337,137943.5471348222,,
308,1.4693,308,0.2999,122358.91387163365,,
309,1.4317,309,0.2644,107525.837878206,,
310,1.3892,310,0.2313,93761.3394548799,,
311,1.3417,311,0.2016,81459.17414324146,,
312,1.2897,312,0.1766,71128.87982358428,,
313,1.2339,313,0.1575,63233.33456107251,,
314,1.1756,314,0.1458,58349.58075075056,,
315,1.1173,315,0.1431,57087.226505231665,,
316,1.065,316,0.1485,59053.9884883651,,
317,1.0185,317,0.1546,61285.83271230057,,
318,0.9745,318,0.1609,63582.67395755946,,
319,0.932,319,0.1674,65943.90096688794,,
320,0.8904,320,0.1744,68486.71984825749,,
321,0.8492,321,0.182,71248.58105337598,,
322,0.8083,322,0.1904,74305.49580664554,,
323,0.7673,323,0.1996,77654.72367263438,,
324,0.7261,324,0.2099,81409.91333191327,,
325,0.6845,325,0.2216,85683.31471206131,,
326,0.6424,326,0.2349,90547.25329180888,,
327,0.5999,327,0.2503,96188.45763835174,,
328,0.5571,328,0.2682,102753.06703570519,,
329,0.5143,329,0.2891,110423.639653837,,
330,0.472,330,0.3135,119380.52083641215,,
331,0.431,331,0.3415,129650.01706355462,,
332,0.3924,332,0.3732,141258.11786984466,,
333,0.3572,333,0.408,153966.3426624187,,
334,0.3259,334,0.4448,167350.9475828431,,
335,0.2988,335,0.4827,181068.27150899023,,
336,0.2756,336,0.5207,194741.34461002448,,
337,0.2559,337,0.558,208072.2493416148,,
338,0.239,338,0.5944,220989.665478553,,
339,0.2245,339,0.6296,233386.0453923462,,
340,0.212,340,0.6634,245192.06663429044,,
341,0.201,341,0.696,256486.6260291491,,
342,0.1914,342,0.7274,267274.21008435276,,
343,0.1828,343,0.7576,277559.2529865455,,
344,0.1752,344,0.7867,287382.66750919656,,
345,0.1683,345,0.8148,296784.8920747784,,
346,0.162,346,0.842,305805.89760954975,,
347,0.1564,347,0.8683,314448.9799552758,,
348,0.1511,348,0.8939,322789.61759125476,,
349,0.1463,349,0.9186,330758.3967435626,,
350,0.1419,350,0.9427,338466.2165187541,,
351,0.1378,351,0.9662,345915.3073388556,,
352,0.134,352,0.989,353072.17436367105,,
353,0.1304,353,1.0113,360010.4986487658,,
354,0.127,354,1.0331,366732.132251256,,
355,0.1239,355,1.0544,373238.9063600088,,
356,0.1209,356,1.0752,379532.63158873544,,
357,0.1181,357,1.0956,385650.29818184616,,
358,0.1154,358,1.1156,391593.3814910361,,
359,0.1129,359,1.1352,397363.3404295413,,
360,0.1105,360,1.1545,402996.52428549074,,
361,0.1083,361,1.1734,408459.25980302086,,
362,0.1061,362,1.192,413787.6732684015,,
363,0.104,363,1.2103,418982.87478123704,,
364,0.1021,364,1.2283,424045.9622422355,,
365,0.1002,365,1.246,428978.02152031584,,
366,0.0984,366,1.2635,433814.46096291847,,
367,0.0967,367,1.2807,438521.82141171093,,
368,0.095,368,1.2977,443135.30288733426,,
369,0.0934,369,1.3144,447621.61342855555,,
370,0.0919,370,1.3309,452015.74731488165,,
371,0.0904,371,1.3473,456352.32152900565,,
372,0.089,372,1.3634,460564.2391294972,,
373,0.0876,373,1.3793,464686.19271811284,,
374,0.0863,374,1.395,468718.9039313114,,
375,0.085,375,1.4106,472696.5970297347,,
376,0.0838,376,1.426,476586.2897892601,,
377,0.0826,377,1.4412,480388.68247783656,,
378,0.0815,378,1.4563,484137.71231987467,,
379,0.0804,379,1.4712,487800.64506187907,,
380,0.0793,380,1.486,491411.22981415084,,
381,0.0783,381,1.5006,494936.89616554783,,
382,0.0773,382,1.5151,498411.2072726592,,
383,0.0763,383,1.5295,501834.56539588404,,
384,0.0754,384,1.5437,505174.6436819338,,
385,0.0745,385,1.5579,508497.3709119521,,
386,0.0736,386,1.5718,511705.21584584843,,
387,0.0727,387,1.5857,514896.4827697504,,
388,0.0719,388,1.5995,518038.9123110179,,
389,0.0711,389,1.6132,521132.8811075635,,
390,0.0703,390,1.6267,524146.5404712325,,
391,0.0696,391,1.6402,527144.7846974916,,
392,0.0688,392,1.6535,530063.6176235433,,
393,0.0681,393,1.6668,532967.596438012,,
394,0.0674,394,1.6799,535793.0455599487,,
