"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
300,1.5,300,0.00000237348,0.9942009775256404,'Unpublished data',Schott BG33
2000,1.5,305,0.00000167034,0.6882003767865148,,
,,310,0.00000116758,0.4732981613520478,,
,,315,8.08408e-7,0.32250014398771015,,
,,320,5.72194e-7,0.2247000583535198,,
,,325,3.96216e-7,0.15319991074889028,,
,,330,2.78099e-7,0.10589985156008097,,
,,335,2.02604e-7,0.07599990901348136,,
,,340,1.46645e-7,0.05419986525713826,,
,,345,1.08719e-7,0.03960009411079753,,
,,350,8.46704e-8,0.030399989327601056,,
,,355,6.893e-8,0.024399997928106418,,
,,360,5.75823e-8,0.020100014517422615,,
,,365,5.19919e-8,0.017899985872457554,,
,,370,5.24097e-8,0.017799992269929187,,
,,375,5.75942e-8,0.01930000166500067,,
,,380,6.25956e-8,0.020699987063899507,,
,,385,5.72918e-8,0.018699999791266048,,
,,390,5.12081e-8,0.016499999052747846,,
,,395,4.96643e-8,0.01580000000260046,,
,,400,5.41127e-8,0.01700000607859084,,
,,405,5.83343e-8,0.018100010699486725,,
,,410,6.42747e-8,0.01969999271528662,,
,,415,6.93518e-8,0.02100001015838348,,
,,420,7.38638e-8,0.022099997280592927,,
,,425,7.91398e-8,0.023400001344617928,,
,,430,8.24661e-8,0.02409999013304198,,
,,435,8.5502e-8,0.02469999586825145,,
,,440,8.78854e-8,0.025100011545254586,,
,,445,8.88841e-8,0.025100012187050835,,
,,450,8.80923e-8,0.02460001089047361,,
,,455,8.50882e-8,0.023499996837554202,,
,,460,8.52911e-8,0.023299990711008033,,
,,465,8.28879e-8,0.02240000152356864,,
,,470,8.0413e-8,0.021499990642818385,,
,,475,7.86225e-8,0.02079998891847272,,
,,480,7.56304e-8,0.01979999241900479,,
,,485,7.60323e-8,0.019700001246642083,,
,,490,7.33068e-8,0.018800008517402142,,
,,495,7.3267e-8,0.0186000055717627,,
,,500,7.20176e-8,0.018099997047133463,,
,,505,7.11303e-8,0.017699994291298066,,
,,510,6.73703e-8,0.0166000031019718,,
,,515,6.63915e-8,0.016200003779480138,,
,,520,6.57947e-8,0.015900011243472643,,
,,525,6.22495e-8,0.014900005477305743,,
,,530,6.28423e-8,0.014899993057712141,,
,,535,6.13065e-8,0.014400003739611412,,
,,540,6.35983e-8,0.01479999644894813,,
,,545,6.33198e-8,0.014600001358295414,,
,,550,6.215e-8,0.014199998794225866,,
,,555,6.53649e-8,0.014799992046315782,,
,,560,6.50625e-8,0.014599990858870425,,
,,565,6.47442e-8,0.01439999313858749,,
,,570,6.93995e-8,0.015299997148267007,,
,,575,6.90931e-8,0.015099991330347475,,
,,580,7.29248e-8,0.01580000109962103,,
,,585,7.63466e-8,0.016399994371730495,,
,,590,7.65297e-8,0.016300009715351237,,
,,595,7.62312e-8,0.016099991791215747,,
,,600,7.83042e-8,0.016399993297681725,,
,,605,8.23269e-8,0.01710000556911217,,
,,610,8.34927e-8,0.01720000347202469,,
,,615,8.46665e-8,0.01730001004261205,,
,,620,8.83151e-8,0.017900004474906316,,
,,625,8.80326e-8,0.017700004443930165,,
,,630,9.12435e-8,0.018199994240496526,,
,,635,9.44943e-8,0.018700006216447875,,
,,640,9.77848e-8,0.0192000005820467,,
,,645,9.54691e-8,0.018600001439059183,,
,,650,1.00347e-7,0.019399962954447694,,
