"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
250,2.44694,250,0.46578,234126.56419024864," Zachary C. Holman,  Miha Filipič,  Antoine Descoeudres,  Stefaan De Wolf,  Franc Smole,  Marko Topič and  Christophe Ballif, 'Infrared light management in high-efficiency silicon heterojunction and rear-passivated solar cells', <i>Journal of Applied Physics</i> <b>113</b>(1), pp.013107, (2013)","Indium tin oxide, DC sputtered at 8 mTorr, 0.17x10<sup>-20</sup> cm<sup>-3</sup>, mu=26 cm<sup>2</sup>/Vs."
255,2.44432,255,0.44109,217368.64369755637,,
260,2.44111,260,0.41743,201753.08021353654,,
265,2.43736,265,0.39476,187196.24391412933,,
270,2.43314,270,0.37304,173620.69977705725,,
275,2.42848,275,0.35224,160959.2140073409,,
280,2.42344,280,0.33233,149149.355223928,,
285,2.41806,285,0.31327,138128.6639424666,,
290,2.41238,290,0.29502,127838.98822924976,,
295,2.40642,295,0.27756,118234.63822784853,,
300,2.40022,300,0.26086,109268.7812820578,,
305,2.39381,305,0.24489,100897.6557295219,,
310,2.3872,310,0.22963,93084.37690888054,,
315,2.38043,315,0.21504,85786.42339402529,,
320,2.37352,320,0.20111,78975.71232043042,,
325,2.36648,325,0.1878,72614.28927312778,,
330,2.35933,330,0.17511,66681.73206910408,,
335,2.35209,335,0.163,61143.83313852373,,
340,2.34478,340,0.15146,55979.48509561295,,
345,2.33741,345,0.14046,51161.51931863448,,
350,2.32999,350,0.13,46675.09085333408,,
355,2.32253,355,0.12005,42495.57161278363,,
360,2.31505,360,0.1106,38606.68305411457,,
365,2.30756,365,0.10163,34989.59576814583,,
370,2.30006,370,0.09312,31626.498151598,,
375,2.29257,375,0.08507,28507.23061769427,,
380,2.2851,380,0.07746,25615.554415480572,,
385,2.27766,385,0.07027,22936.074365481014,,
390,2.27024,390,0.0635,20460.629077225833,,
395,2.26287,395,0.05713,18175.10767590733,,
400,2.25555,400,0.05115,16069.246423111792,,
405,2.24828,405,0.04555,14133.288431705194,,
410,2.24108,410,0.04033,12361.017728709889,,
415,2.23395,415,0.03546,10737.433782775332,,
420,2.2269,420,0.03095,9260.218345581343,,
425,2.21993,425,0.02678,7918.291883589145,,
430,2.21306,430,0.02294,6704.01260217208,,
435,2.20629,435,0.01943,5612.978874413763,,
440,2.19963,440,0.01624,4638.133154027113,,
445,2.19309,445,0.01336,3772.7350878165967,,
450,2.18667,450,0.01079,3013.1364206430103,,
455,2.18038,455,0.00851,2350.325580839485,,
460,2.17424,460,0.00652,1781.146443600474,,
465,2.16825,465,0.00482,1302.578631423897,,
470,2.16243,470,0.0034,909.0565976344933,,
475,2.15679,475,0.00224,592.6035826560958,,
480,2.15135,480,0.00135,353.4291735288517,,
485,2.14612,485,0.000724,187.58870772775342,,
490,2.14114,490,0.000349,89.50333355941534,,
495,2.13647,495,0.000223,56.61213428287061,,
500,2.1322,500,0.00023,57.8053048260522,,
505,2.12823,505,0.000237,58.974848229764824,,
510,2.1245,510,0.000244,60.12145940987525,,
515,2.12098,515,0.000252,61.48981349162159,,
520,2.11763,520,0.00026,62.83185307179586,,
525,2.11443,525,0.000268,64.14832999330017,,
530,2.11139,530,0.000276,65.43996772760626,,
535,2.10847,535,0.000284,66.70746270052346,,
540,2.10568,540,0.000293,68.18419611124514,,
545,2.103,545,0.000301,69.4032578884791,,
550,2.10042,550,0.00031,70.82863437184261,,
555,2.09795,555,0.000319,72.22832839604641,,
560,2.09556,560,0.000328,73.60302788410372,,
565,2.09326,565,0.000337,74.95339640777065,,
570,2.09104,570,0.000346,76.28007425558376,,
575,2.0889,575,0.000356,77.80222502107593,,
580,2.08682,580,0.000365,79.08147024553617,,
585,2.08482,585,0.000375,80.55365778435367,,
590,2.08288,590,0.000385,82.00089299200476,,
595,2.081,595,0.000395,83.42380491885501,,
600,2.07918,600,0.000406,85.03244115716375,,
605,2.07742,605,0.000416,86.40677976154406,,
610,2.07571,610,0.000427,87.96459430051421,,
615,2.07404,615,0.000438,89.49707852177754,,
620,2.07243,620,0.000449,91.0048452556011,,
625,2.07086,625,0.00046,92.48848772168351,,
630,2.06934,630,0.000472,94.14804650757982,,
635,2.06785,635,0.000483,95.58357490922016,,
640,2.06641,640,0.000495,97.19302272043423,,
645,2.06501,645,0.000507,98.77751785240466,,
650,2.06364,650,0.000519,100.33763613619095,,
655,2.0623,655,0.000531,101.87393582022474,,
660,2.061,660,0.000544,103.57735779108167,,
665,2.05973,665,0.000557,105.25516439395577,,
670,2.0585,670,0.00057,106.90792910723474,,
675,2.05729,675,0.000583,108.53620841735402,,
680,2.05611,680,0.000596,110.14054244350096,,
685,2.05496,685,0.00061,111.9049062008627,,
690,2.05384,690,0.000623,113.46157815573571,,
695,2.05274,695,0.000637,115.17666304096106,,
700,2.05166,700,0.000651,116.86724671354033,,
705,2.05062,705,0.000666,118.71209686756326,,
710,2.04959,710,0.00068,120.35397208118647,,
715,2.04858,715,0.000695,122.14863744027447,,
720,2.0476,720,0.00071,123.91837689159739,,
725,2.04664,725,0.000725,125.66370614359171,,
730,2.04569,730,0.00074,127.38512677569572,,
735,2.04477,735,0.000756,129.25409774769435,,
740,2.04386,740,0.000771,130.92799653609353,,
745,2.04297,745,0.000787,132.748103000009,,
750,2.0421,750,0.000804,134.71149298593036,,
755,2.04125,755,0.00082,136.48243581158306,,
760,2.04041,760,0.000837,138.39542373971878,,
765,2.03959,765,0.000853,140.1191390071683,,
770,2.03878,770,0.00087,141.9836679804218,,
775,2.03799,775,0.000888,143.98628523291544,,
780,2.03722,780,0.000905,145.80212058968016,,
785,2.03645,785,0.000923,147.7549054401722,,
790,2.0357,790,0.000941,149.68297149508837,,
795,2.03496,795,0.000959,151.5867851467981,,
800,2.03424,800,0.000978,153.62388076054089,,
805,2.03353,805,0.000996,155.4795668559222,,
810,2.03283,810,0.00102,158.24318551415257,,
815,2.03214,815,0.00103,158.8142543900607,,
820,2.03146,820,0.00105,160.91084323264792,,
825,2.03079,825,0.00107,162.98201887714322,,
830,2.03013,830,0.00109,165.02824059821083,,
835,2.02949,835,0.00111,167.04995666992434,,
840,2.02885,840,0.00113,169.04760469316506,,
845,2.02822,845,0.00115,171.02161191139703,,
850,2.02761,850,0.00117,172.97239551529688,,
855,2.027,855,0.0012,176.37011388574277,,
860,2.0264,860,0.00122,178.2671180176534,,
865,2.02581,865,0.00124,180.14219146595806,,
870,2.02522,870,0.00126,181.99571234589146,,
