"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
350,2.1951418,350,0.060114592,21583.49264008546," B.S. Richards, 'Single-material TiO<sub>2</sub> double-layer antireflection coatings', <i>Solar Energy Materials and Solar Cells</i> <b>79</b>(3), pp.369-390, (2003)",Deposited at 150 &deg;C. No anneal. Data from Table 2 of [Ric03].
360,2.148433,360,0.025476068,8892.825341239335,,
370,2.0970175,370,0.011699796,3973.620882389108,,
380,2.058571,380,0.006746525,2231.0350923431456,,
390,2.02948,390,0.00448424,1444.8877375316401,,
400,2.006719,400,0.00325858,1023.713098913463,,
410,1.9884104,410,0.0025135,770.3798180290678,,
420,1.9733578,420,0.002022429,605.1093417911384,,
430,1.9607631,430,0.001679008,490.6752742435807,,
440,1.9500718,440,0.001427767,407.76930165799433,,
450,1.9408861,450,0.001237348,345.5327454874688,,
460,1.9329125,460,0.001088864,297.4580124485562,,
470,1.9259291,470,0.000970349,259.4418118994215,,
480,1.9197655,480,0.000873892,228.7843906025743,,
490,1.9142883,490,0.000794084,203.64803761087327,,
500,1.9093913,500,0.000727108,182.7421720933094,,
510,1.9049894,510,0.000670207,165.13861863407485,,
520,1.901013,520,0.000621345,150.15483748805772,,
530,1.8974053,530,0.000578984,137.27787780724776,,
540,1.8941185,540,0.000541951,126.1177244596772,,
550,1.8911134,550,0.000509329,116.37121779347169,,
560,1.8883564,560,0.000480398,107.80105911423067,,
570,1.8858193,570,0.000454581,100.21812842536855,,
580,1.8834776,580,0.000431416,93.47126456835133,,
590,1.8813106,590,0.000410524,87.43723271337602,,
600,1.8793002,600,0.000391592,82.01483669363563,,
610,1.8774309,610,0.000374365,77.1214645089274,,
620,1.8756889,620,0.000358626,72.68753593459957,,
630,1.8740624,630,0.000344194,68.65506932124985,,
640,1.8725406,640,0.000330916,64.9752046597075,,
650,1.8711145,650,0.00031866,61.60614861494915,,
660,1.8697755,660,0.000307315,58.51263917199682,,
670,1.8685166,670,0.000296783,55.66395776181132,,
680,1.8673309,680,0.000286982,53.03414958308859,,
690,1.8662127,690,0.000277839,50.60040355250635,,
700,1.8651568,700,0.00026929,48.342827753439735,,
710,1.8641583,710,0.000261279,46.244066869706344,,
720,1.863213,720,0.000253757,44.28895149983251,,
730,1.862317,730,0.000246682,42.46434843686781,,
740,1.8614666,740,0.000240014,40.758174008578415,,
750,1.860659,750,0.000233719,39.159994314898825,,
760,1.8598909,760,0.000227767,37.66058599632561,,
770,1.8591598,770,0.000222131,36.25169442776905,,
780,1.8584633,780,0.000216786,34.925810512877796,,
790,1.8577992,790,0.000211709,33.67612349867552,,
800,1.8571652,800,0.000206882,32.49694856799818,,
810,1.8565596,810,0.000202285,31.382571354637598,,
820,1.8559808,820,0.000197903,30.328322484067357,,
830,1.8554269,830,0.000193721,29.329757611858714,,
840,1.8548967,840,0.000189725,28.382793628682073,,
850,1.8543886,850,0.000185903,27.48383525083781,,
860,1.8539015,860,0.000182244,26.629600537712477,,
870,1.8534341,870,0.000178737,25.816958442513968,,
880,1.8529855,880,0.000175373,25.043205838091037,,
890,1.8525544,890,0.000172143,24.30576108615316,,
900,1.8521402,900,0.00016904,23.60243654056972,,
910,1.8517417,910,0.000166055,22.93086453151003,,
920,1.8513583,920,0.000163182,22.289190104264765,,
930,1.8509891,930,0.000160415,21.675638087122866,,
940,1.8506334,940,0.000157748,21.088508847595012,,
950,1.8502905,950,0.000155175,20.526174316665102,,
960,1.84996,960,0.000152691,19.98720516121996,,
970,1.849641,970,0.000150293,19.470490090143123,,
980,1.8493332,980,0.000147974,18.974450258052897,,
990,1.8490359,990,0.000145732,18.49820527648274,,
1000,1.8487486,1000,0.000143562,18.040532981386313,,
1010,1.8484709,1010,0.000141461,17.60050845027587,,
1020,1.8482025,1020,0.000139426,17.177243032133745,,
1030,1.8479427,1030,0.000137453,16.769760583063217,,
1040,1.8476913,1040,0.00013554,16.377364164136946,,
1050,1.847448,1050,0.000133683,15.99914402704169,,
1060,1.8472123,1060,0.000131881,15.634580405587755,,
1070,1.846984,1070,0.000130131,15.282938078665172,,
1080,1.8467627,1080,0.00012843,14.943509055575449,,
1090,1.8465482,1090,0.000126777,14.615841902537733,,
1100,1.8463401,1100,0.000125169,14.299273122079304,,
1110,1.8461381,1110,0.000123604,13.993276337092354,,
1120,1.8459421,1120,0.000122082,13.697568369126754,,
1130,1.8457519,1130,0.000120599,13.411431236469928,,
1140,1.8455671,1140,0.000119155,13.1346130750348,,
1150,1.8453877,1150,0.000117748,12.866652235648383,,
