"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
205.97,1.270089,205.97,2.534636,1546398.7643101846," Zachary C. Holman,  Antoine Descoeudres,  Loris Barraud,  Fernando Zicarelli Fernandez,  Johannes P. Seif,  Stefaan De Wolf and  Christophe Ballif, 'Current Losses at the Front of Silicon Heterojunction Solar Cells', <i>IEEE Journal of Photovoltaics</i> <b>2</b>(1), pp.7-15, (2012)",Intrinsic amorphous Si
208.04,1.299912,208.04,2.562712,1547971.0041273613,,
210.16,1.33099,210.16,2.591129,1549347.5125434843,,
212.32,1.363395,212.32,2.619874,1550598.5138905249,,
214.52,1.397205,214.52,2.648929,1551716.5553386083,,
216.77,1.4325,216.77,2.678276,1552623.002423925,,
219.07,1.469368,219.07,2.707889,1553308.8399391265,,
221.42,1.5079,221.42,2.737738,1553763.4519471796,,
223.81,1.548196,223.81,2.767786,1554042.4760839427,,
226.26,1.590361,226.26,2.797991,1553990.6250173005,,
228.77,1.634507,228.77,2.828299,1553588.907733594,,
231.33,1.680751,231.33,2.858651,1552884.101634395,,
233.95,1.729218,233.95,2.888972,1551779.989164627,,
236.63,1.780042,236.63,2.919179,1550246.5961059208,,
239.37,1.83336,239.37,2.949169,1548245.4216643283,,
242.17,1.889316,242.17,2.978828,1545734.6758240208,,
245.04,1.948063,245.04,3.008019,1542600.4558045245,,
247.99,2.009755,247.99,3.036584,1538724.9463943397,,
251,2.074552,251,3.064339,1534168.1100412258,,
254.08,2.142614,254.08,3.091075,1528793.8462996017,,
257.25,2.214103,257.25,3.116547,1522397.8479715935,,
260.49,2.289173,260.49,3.140477,1515006.2531333584,,
263.81,2.367972,263.81,3.162547,1506453.0414817391,,
267.23,2.450633,267.23,3.182395,1496506.9420081412,,
270.73,2.537268,270.73,3.199612,1485151.634992464,,
274.32,2.627961,274.32,3.21374,1472187.5145155531,,
278.01,2.722753,278.01,3.224267,1457405.6358277765,,
281.8,2.821637,281.8,3.230627,1440640.7451651997,,
285.7,2.924534,285.7,3.232205,1421669.0910600207,,
289.7,3.031289,289.7,3.228336,1400361.292498372,,
293.82,3.141643,293.82,3.218317,1376440.1394218423,,
298.06,3.255218,298.06,3.201417,1349734.7015067402,,
302.42,3.371504,302.42,3.1769,1320088.0498894798,,
306.91,3.48984,306.91,3.144044,1287322.737344898,,
311.54,3.609401,311.54,3.102179,1251304.199334985,,
316.31,3.729198,316.31,3.050722,1211991.5049596615,,
321.22,3.848084,321.22,2.989219,1169405.198975285,,
326.3,3.964767,326.3,2.917391,1123537.1294206535,,
331.53,4.077848,331.53,2.835178,1074650.7859221674,,
336.94,4.185865,336.94,2.742773,1022932.9266058571,,
342.52,4.287349,342.52,2.640645,968799.5950880089,,
348.29,4.380894,348.29,2.529552,912667.2577534087,,
354.26,4.46523,354.26,2.41052,855063.7298403736,,
360.44,4.539282,360.44,2.284814,796576.9478658428,,
366.84,4.602229,366.84,2.153885,737828.9491524645,,
373.47,4.65354,373.47,2.019298,679445.3918342638,,
380.35,4.692987,380.35,1.882667,622013.7048882277,,
387.48,4.720638,387.48,1.745573,566107.08300864,,
394.88,4.736831,394.88,1.609506,512197.34861311736,,
402.57,4.742132,402.57,1.475809,460679.2073429912,,
410.57,4.737283,410.57,1.345646,411863.6615371304,,
418.89,4.723149,418.89,1.21998,365984.40693513583,,
427.56,4.700666,427.56,1.099577,323175.5098939381,,
436.59,4.670794,436.59,0.985006,283514.29151761316,,
446.02,4.634485,446.02,0.876665,246995.58976362462,,
455.86,4.592646,455.86,0.774802,213584.19437429725,,
466.14,4.546127,466.14,0.679539,183192.5799311584,,
476.89,4.495706,476.89,0.590904,155707.15807643885,,
488.16,4.442082,488.16,0.508849,130989.53459410951,,
499.97,4.385882,499.97,0.43328,108901.67529630862,,
512.37,4.327655,512.37,0.364072,89292.18498957732,,
525.39,4.267891,525.39,0.301089,72014.99765710784,,
539.1,4.207021,539.1,0.244199,56922.55866547757,,
553.54,4.145435,553.54,0.193285,43879.230845041246,,
568.77,4.083495,568.77,0.148257,32755.81356564249,,
584.87,4.021555,584.87,0.109062,23432.78868711406,,
601.91,3.959979,601.91,0.075692,15802.590495955783,,
619.96,3.899179,619.96,0.048195,9768.956573957033,,
639.14,3.839657,639.14,0.026677,5245.064757005658,,
659.53,3.782094,659.53,0.011312,2155.3346229835024,,
681.28,3.727538,681.28,0.002349,433.27860164880366,,
704.5,3.678298,704.5,0,0,,
729.37,3.636967,729.37,0,0,,
756.05,3.600558,756.05,0,0,,
784.76,3.567812,784.76,0,0,,
815.74,3.53806,815.74,0,0,,
849.26,3.510861,849.26,0,0,,
