"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
208.04,1.183543,208.04,2.573013,1554193.1817710123," Zachary C. Holman,  Antoine Descoeudres,  Loris Barraud,  Fernando Zicarelli Fernandez,  Johannes P. Seif,  Stefaan De Wolf and  Christophe Ballif, 'Current Losses at the Front of Silicon Heterojunction Solar Cells', <i>IEEE Journal of Photovoltaics</i> <b>2</b>(1), pp.7-15, (2012)",n-type amorphous Si.
210.16,1.212417,210.16,2.603459,1556720.1500422973,,
212.32,1.24256,212.32,2.634364,1559174.564672461,,
214.52,1.274048,214.52,2.66572,1561552.557995037,,
216.77,1.306964,216.77,2.697521,1563779.5186611048,,
219.07,1.341394,219.07,2.729753,1565850.5447418084,,
221.42,1.377433,221.42,2.7624,1567760.0119729827,,
223.81,1.415183,223.81,2.79544,1569569.5040527328,,
226.26,1.45475,226.26,2.828846,1571127.3423029918,,
228.77,1.496252,228.77,2.862583,1572421.160657609,,
231.33,1.539812,231.33,2.896611,1573504.835154521,,
233.95,1.585562,233.95,2.930877,1574288.8056038118,,
236.63,1.633644,236.63,2.965318,1574748.9742395433,,
239.37,1.684209,239.37,2.999859,1574856.4976739313,,
242.17,1.737417,242.17,3.034409,1574576.0453213449,,
245.04,1.793436,245.04,3.068861,1573802.0196683363,,
247.99,1.852445,247.99,3.103087,1572423.940102422,,
251,1.91463,251,3.136934,1570512.957640804,,
254.08,1.980187,254.08,3.170225,1567940.1086628938,,
257.25,2.049315,257.25,3.20275,1564507.035379547,,
260.49,2.122218,260.49,3.234265,1560250.7833333476,,
263.81,2.199102,263.81,3.264483,1555009.4098887483,,
267.23,2.280165,267.23,3.293075,1548553.7144362845,,
270.73,2.365601,270.73,3.319657,1540872.4623998718,,
274.32,2.455584,274.32,3.343791,1531762.7939252942,,
278.01,2.550261,278.01,3.364977,1521008.168439786,,
281.8,2.649743,281.8,3.382648,1508431.8107140108,,
285.7,2.754086,285.7,3.396168,1493787.390851486,,
289.7,2.863278,289.7,3.404832,1476920.2896661984,,
293.82,2.977216,293.82,3.407868,1457509.097162037,,
298.06,3.095682,298.06,3.404441,1435330.716658376,,
302.42,3.218326,302.42,3.393671,1410162.2752861222,,
306.91,3.34463,306.91,3.374653,1381745.1465530293,,
311.54,3.473897,311.54,3.346484,1349847.7947943485,,
316.31,3.605223,316.31,3.308303,1314323.3411082893,,
321.22,3.737494,321.22,3.25934,1275078.587827826,,
326.3,3.869386,326.3,3.198973,1231979.169577947,,
331.53,3.999384,331.53,3.126786,1185182.3879525133,,
336.94,4.125823,336.94,3.042629,1134765.9421854643,,
342.52,4.246945,342.52,2.94667,1081074.0189832344,,
348.29,4.360976,348.29,2.839427,1024470.7575416471,,
354.26,4.466218,354.26,2.721781,965474.7580060161,,
360.44,4.561142,360.44,2.594955,904704.42397027,,
366.84,4.644475,366.84,2.460473,842852.895121147,,
373.47,4.71527,373.47,2.320078,780650.6547305327,,
380.35,4.772949,380.35,2.175651,718812.588234551,,
387.48,4.817318,387.48,2.029102,658058.4222756639,,
394.88,4.848548,394.88,1.882283,599003.8943250563,,
402.57,4.867132,402.57,1.736902,542180.3475872936,,
410.57,4.873827,410.57,1.594468,488020.94212280586,,
418.89,4.869578,418.89,1.456247,436862.6490975842,,
427.56,4.855457,427.56,1.323253,388915.8858303541,,
436.59,4.832588,436.59,1.196252,344317.2308153735,,
446.02,4.802102,446.02,1.075781,303095.43845311704,,
455.86,4.76509,455.86,0.962171,265234.8830866621,,
466.14,4.722574,466.14,0.85559,230653.04487792435,,
476.89,4.675488,476.89,0.756066,199228.45026979144,,
488.16,4.624673,488.16,0.66353,170808.01158935062,,
499.97,4.570865,499.97,0.577837,145234.99203331122,,
512.37,4.514707,512.37,0.498793,122333.81536483507,,
525.39,4.456755,525.39,0.426182,101934.96186011954,,
539.1,4.397481,539.1,0.359778,83863.91554243951,,
553.54,4.337293,553.54,0.299362,67960.65035689907,,
568.77,4.276539,568.77,0.244732,54070.942792224436,,
584.87,4.215524,584.87,0.195716,42051.050509684545,,
601.91,4.154527,601.91,0.152177,31770.739495627855,,
619.96,4.093811,619.96,0.114023,23112.0600774417,,
639.14,4.033648,639.14,0.08121,15967.00187114104,,
659.53,3.974343,659.53,0.053754,10242.031234428503,,
681.28,3.916274,681.28,0.031732,5853.042395708744,,
704.5,3.85995,704.5,0.015291,2727.4999725218754,,
729.37,3.806148,729.37,0.004658,802.5303250981673,,
756.05,3.756282,756.05,0.000138,22.937096022505997,,
784.76,3.713711,784.76,0,0,,
815.74,3.676878,815.74,0,0,,
849.26,3.643937,849.26,0,0,,
