"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
400,2.4429,400,0.39473,124008.08681514993," Sarah Brittman and  Erik C. Garnett, 'Measuring n and k at the Microscale in Single Crystals of CH<sub>3</sub>NH<sub>3</sub>PbBr<sub>3</sub> Perovskite', <i>The Journal of Physical Chemistry C</i> <b>120</b>(1), pp.616-620, (2016)","Spin-coated on silica, heated to 150 &deg;C."
401,2.4414792,401,0.39275733,123080.65262559024,,
402,2.4405863,402,0.39060077,122100.34920582252,,
403,2.4422712,403,0.38754642,120844.96138928283,,
404,2.444784,404,0.38270208,119039.01416252804,,
405,2.4489775,405,0.3742236,116114.38148740004,,
406,2.450475,406,0.3623925,112166.46460256544,,
407,2.4489324,407,0.3467808,107070.66473572396,,
408,2.4420254,408,0.3331283,102603.27646890751,,
409,2.4313905,409,0.3208373,98576.04935722098,,
410,2.4203205,410,0.31328717,96021.52894984747,,
411,2.4090638,411,0.30776885,94100.66746119504,,
412,2.3997774,412,0.30451283,92879.15239338229,,
413,2.3910143,413,0.3018582,91846.53787368897,,
414,2.3837411,414,0.29982135,91006.43000477045,,
415,2.376731,415,0.2978935,90203.37649659287,,
416,2.3707879,416,0.296094,89442.95530500157,,
417,2.3649502,417,0.2943072,88690.00838547549,,
418,2.3597348,418,0.29250422,87935.79987521651,,
419,2.3545587,419,0.2907002,87184.87949566431,,
420,2.349835,420,0.2888715,86430.15068871086,,
421,2.345135,421,0.2870415,85678.61925656955,,
422,2.3407817,422,0.2852138,84931.3344817468,,
423,2.3364468,423,0.2833862,84187.61267600262,,
424,2.3323119,424,0.28156686,83449.84706324016,,
425,2.3281941,425,0.27974823,82715.76322096451,,
426,2.3242824,426,0.27795368,81992.2290259388,,
427,2.320399,427,0.27616242,81273.0519784149,,
428,2.3166397,428,0.2744158,80570.34217840804,,
429,2.3129077,429,0.27267894,79873.7673373102,,
430,2.3092928,430,0.27097595,79190.33058786188,,
431,2.3057215,431,0.26928547,78513.71269331552,,
432,2.3022408,432,0.26763368,77851.48175381495,,
433,2.2988136,433,0.26600456,77198.88882377694,,
434,2.2954412,434,0.26440263,76557.17603666546,,
435,2.2921233,435,0.26282784,75926.25391290791,,
436,2.288872,436,0.26127917,75305.754220921,,
437,2.2857382,437,0.25977686,74701.42562458802,,
438,2.2826188,438,0.25828585,74103.09852841965,,
439,2.2795594,439,0.2568429,73521.25446621393,,
440,2.2765,440,0.2554,72942.06942971211,,
441,2.2736042,441,0.25401992,72383.41174943012,,
442,2.270708,442,0.25263983,71827.27908888455,,
443,2.267868,443,0.25130847,71287.48019294726,,
444,2.265043,444,0.24999009,70753.7865057884,,
445,2.2622886,445,0.24870875,70232.95118053937,,
446,2.2595894,446,0.24745655,69722.66184418612,,
447,2.2569106,447,0.24622078,69219.27459589698,,
448,2.254279,448,0.24502341,68728.90578692142,,
449,2.2516503,449,0.2438273,68241.07389083604,,
450,2.2491722,450,0.24269252,67772.53670339502,,
451,2.2466938,451,0.24155773,67306.0744998516,,
452,2.2442696,452,0.24046129,66852.33824218804,,
453,2.241866,453,0.23937975,66404.73854465001,,
454,2.2395039,454,0.23832004,65965.1530279494,,
455,2.237206,455,0.23729451,65536.93972335734,,
456,2.2349122,456,0.23627084,65111.11712293768,,
457,2.2327182,457,0.23529194,64699.46872235364,,
458,2.230524,458,0.23431304,64289.61791303856,,
459,2.2284043,459,0.23337024,63891.43630069603,,
460,2.2263207,460,0.23244525,63499.85128363851,,
461,2.2242556,461,0.23153445,63113.83316034303,,
462,2.222239,462,0.23066202,62739.922726769,,
463,2.2202227,463,0.22978958,62367.62474293598,,
464,2.2182887,464,0.22895057,62005.98523682722,,
465,2.21637,465,0.22811791,61647.61722221571,,
466,2.2144766,466,0.22730492,61296.09157054211,,
467,2.2126217,467,0.22652265,60954.33773975948,,
468,2.210767,468,0.2257404,60614.049765677046,,
469,2.2090347,469,0.2249966,60285.515193405656,,
470,2.2073147,470,0.2242566,59959.394645023385,,
471,2.2056031,471,0.22353803,59640.37646249977,,
472,2.2039037,472,0.22285028,59330.915465968515,,
473,2.202204,473,0.22216253,59022.762972593824,,
474,2.2005906,474,0.22151281,58725.99295966512,,
475,2.1989892,475,0.22086827,58431.84290047048,,
476,2.1974163,476,0.22024147,58143.61211494259,,
477,2.1959047,477,0.21965232,57866.508583308554,,
478,2.194393,478,0.21906318,57590.56710962498,,
479,2.1928942,479,0.2185159,57326.75959353336,,
480,2.1914,480,0.21798334,57067.904962413835,,
481,2.1899185,481,0.21745966,56812.44659527103,,
482,2.1885223,482,0.21699551,56573.56847120087,,
483,2.187126,483,0.21653135,56335.67688876856,,
484,2.1857529,484,0.21610662,56109.00576728273,,
485,2.1844046,485,0.2157246,55894.33555122446,,
486,2.183056,486,0.21534258,55680.5487516932,,
487,2.18178,487,0.215039,55487.880298586904,,
488,2.1805208,488,0.21475382,55300.739610028264,,
489,2.179263,489,0.21448228,55117.86954381915,,
490,2.1780176,490,0.21432109,54964.045865580156,,
491,2.176772,491,0.21415992,54810.85387905318,,
